"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"th_warning","WARNING","WARNING","WARNING","WARNING","WARNING","WARNING","WARNING","WARNING","WARNING","WARNING","WARNING","WARNING","WARNING","WARNING",
"th_exitnow","EXIT NOW","EXIT NOW","EXIT NOW","EXIT NOW","EXIT NOW","EXIT NOW","EXIT NOW","EXIT NOW","EXIT NOW","EXIT NOW","EXIT NOW","EXIT NOW","SAIR AGORA","EXIT NOW",
"th_cancel","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCEL","CANCELAR","CANCEL",
"th_serverpanel","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","SERVER PANEL","INFORMAÇÃO DO SERVIDOR","SERVER PANEL",
"th_discord","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD","DISCORD",
"th_exit","EXIT GAME","EXIT GAME","EXIT GAME","EXIT GAME","EXIT GAME","EXIT GAME","EXIT GAME","EXIT GAME","EXIT GAME","EXIT GAME","EXIT GAME","EXIT GAME","SAIR DO JOGO","EXIT GAME",
"th_settings","SETTINGS","SETTINGS","SETTINGS","SETTINGS","SETTINGS","SETTINGS","SETTINGS","SETTINGS","SETTINGS","SETTINGS","SETTINGS","SETTINGS","CONFIGURAÇÕES","SETTINGS",
"th_server","SERVER","SERVER","SERVER","SERVER","SERVER","SERVER","SERVER","SERVER","SERVER","SERVER","SERVER","SERVER","SERVIDOR","SERVER",
"th_character","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","CHARACTER","PERSONAGEM","CHARACTER",
"th_play","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY","PLAY","JOGAR","PLAY",
"th_exiting","SECONDS UNTIL EXIT","SECONDS UNTIL EXIT","SECONDS UNTIL EXIT","SECONDS UNTIL EXIT","SECONDS UNTIL EXIT","SECONDS UNTIL EXIT","SECONDS UNTIL EXIT","SECONDS UNTIL EXIT","SECONDS UNTIL EXIT","SECONDS UNTIL EXIT","SECONDS UNTIL EXIT","SECONDS UNTIL EXIT","SEGUNDOS ATÉ A SAÍDA","SECONDS UNTIL EXIT",
"th_yes","CONFIRM","CONFIRM","CONFIRM","CONFIRM","CONFIRM","CONFIRM","CONFIRM","CONFIRM","CONFIRM","CONFIRM","CONFIRM","CONFIRM","CONFIRMAR","CONFIRM",
"th_no","KEEP PLAYING","KEEP PLAYING","KEEP PLAYING","KEEP PLAYING","KEEP PLAYING","KEEP PLAYING","KEEP PLAYING","KEEP PLAYING","KEEP PLAYING","KEEP PLAYING","KEEP PLAYING","KEEP PLAYING","CONTINUAR JOGANDO","KEEP PLAYING",
"th_existmessage","Once you confirm you will left from the game","Once you confirm you will left from the game","Once you confirm you will left from the game","Once you confirm you will left from the game","Once you confirm you will left from the game","Once you confirm you will left from the game","Once you confirm you will left from the game","Once you confirm you will left from the game","Once you confirm you will left from the game","Once you confirm you will left from the game","Once you confirm you will left from the game","Once you confirm you will left from the game","Depois de confirmar, você sairá do jogo","Once you confirm you will left from the game",
"th_sure","Are you Sure?","Are you Sure?","Are you Sure?","Are you Sure?","Are you Sure?","Are you Sure?","Are you Sure?","Are you Sure?","Are you Sure?","Are you Sure?","Are you Sure?","Are you Sure?","Você tem certeza?","Are you Sure?"
